,MSE training set,MSE validation set
0,0.032286930829286575,0.003217678517103195
1,0.0031328657642006874,0.0023576950188726187
2,0.002411819063127041,0.0020528524182736874
3,0.002340501407161355,0.002131791552528739
4,0.0023416115436702967,0.002073952928185463
5,0.002272158395498991,0.0019723207224160433
6,0.002237425884231925,0.001971628051251173
7,0.002193579450249672,0.0019303214503452182
8,0.002188817597925663,0.0018862232100218534
9,0.002141284290701151,0.0018616124289110303
10,0.00215524947270751,0.001876065507531166
11,0.0021352628245949745,0.0018614598084241152
12,0.0020928699523210526,0.00183991773519665
13,0.0020654445979744196,0.0018293453613296151
14,0.00204861699603498,0.0018460681894794106
