,MSE training set,MSE validation set
0,0.015306834131479263,0.010025992058217525
1,0.01053851842880249,0.009647575207054615
2,0.010139700956642628,0.009304067119956017
3,0.0097743459045887,0.008979421108961105
4,0.00944527704268694,0.008671133778989315
5,0.009190747514367104,0.008393658325076103
6,0.00889819860458374,0.008150814101099968
7,0.008743169717490673,0.007954361848533154
8,0.008583051152527332,0.007790259085595608
9,0.008454478345811367,0.0076499576680362225
10,0.008329065516591072,0.007521618623286486
11,0.008208182640373707,0.0074045080691576
12,0.0080982381477952,0.00728957075625658
13,0.007978711277246475,0.00718028424307704
14,0.007880805991590023,0.007076298352330923
15,0.007792943622916937,0.006974305957555771
16,0.0076737552881240845,0.006877381820231676
17,0.007574022747576237,0.006786612328141928
18,0.0074960170313715935,0.006696585565805435
19,0.00737852742895484,0.006613516714423895
20,0.00728408619761467,0.006528897676616907
21,0.0072385589592158794,0.006450210697948933
22,0.007132135331630707,0.006371373310685158
23,0.007027342449873686,0.006292371544986963
24,0.006993172690272331,0.006211394444108009
25,0.006862657144665718,0.006137027870863676
26,0.006822978146374226,0.006061467807739973
27,0.0067392922937870026,0.005986338946968317
28,0.006636226084083319,0.0059085385873913765
29,0.006547724362462759,0.00583246536552906
30,0.006471204571425915,0.005755288526415825
31,0.006378279533237219,0.005676062777638435
32,0.006311600562185049,0.005599754862487316
33,0.006247689016163349,0.0055290404707193375
34,0.006167121231555939,0.005458304192870855
35,0.00605182908475399,0.0053822654299438
36,0.005970885511487722,0.005310648120939732
37,0.005904179532080889,0.005241286009550095
38,0.005827148910611868,0.005174008663743734
39,0.00579040078446269,0.005116718355566263
40,0.005707176867872477,0.0050531974993646145
41,0.00563694816082716,0.00499177910387516
42,0.005570123437792063,0.004930396564304829
43,0.005520776845514774,0.0048754154704511166
44,0.005412936210632324,0.0048142788000404835
45,0.005373760592192411,0.00476397480815649
46,0.00530638312920928,0.004706141073256731
47,0.005221521947532892,0.004653522279113531
48,0.0052153365686535835,0.004595493897795677
49,0.0051476494409143925,0.004541369620710611
50,0.005060921423137188,0.004488385282456875
51,0.005003150552511215,0.00443445285782218
52,0.004961871076375246,0.004381640814244747
53,0.004882329143583775,0.004326533991843462
54,0.004813652951270342,0.004271984566003084
55,0.004778798203915358,0.004216821398586035
56,0.004702650010585785,0.004166518338024616
57,0.0046693808399140835,0.004114109557121992
58,0.0045973691157996655,0.004059466067701578
59,0.004538407549262047,0.004000797402113676
60,0.0044875554740428925,0.003952600993216038
61,0.00445298058912158,0.0038967737928032875
62,0.004385571461170912,0.003841363126412034
63,0.004327964968979359,0.0037862269673496485
64,0.004267389886081219,0.003729395568370819
65,0.0042328666895627975,0.0036733790766447783
66,0.004148529376834631,0.003617274109274149
67,0.004105442203581333,0.0035559856332838535
68,0.004040279425680637,0.0034944049548357725
69,0.003992066252976656,0.003434440353885293
70,0.003917710855603218,0.003373833140358329
71,0.003867450635880232,0.003308456391096115
72,0.003804262727499008,0.0032497597858309746
73,0.0037551559507846832,0.0031832437962293625
74,0.0036964635364711285,0.0031172570306807756
75,0.0036243603099137545,0.003050745464861393
76,0.003566609462723136,0.002988508902490139
77,0.003499407321214676,0.0029266842175275087
78,0.003432224038988352,0.002866425085812807
79,0.0033685483504086733,0.00281511596404016
80,0.0033242995850741863,0.002756748115643859
81,0.00326471496373415,0.0027062389999628067
82,0.00324897188693285,0.002669906010851264
83,0.003189936513081193,0.0026249352376908064
84,0.003140832297503948,0.0025835034903138876
85,0.0031084076035767794,0.0025471944827586412
86,0.003058290109038353,0.0025029226671904325
87,0.003010697662830353,0.0024638804607093334
88,0.002971770940348506,0.0024321540258824825
89,0.002928131725639105,0.002394229406490922
90,0.0028799737337976694,0.002357043558731675
91,0.0028353624511510134,0.0023297653533518314
92,0.0028032991103827953,0.0023036960046738386
93,0.0027509985957294703,0.0022755556274205446
94,0.002755709458142519,0.0022533168084919453
95,0.0026994808577001095,0.002223046962171793
96,0.002685341751202941,0.0022099222987890244
97,0.0026701807510107756,0.0021865617018193007
98,0.002637104829773307,0.002174277789890766
99,0.0026104841381311417,0.002152523724362254
100,0.002602502703666687,0.002146406564861536
101,0.0025731089990586042,0.002128990599885583
102,0.0025774086825549603,0.002118859440088272
103,0.0025545479729771614,0.002102968282997608
104,0.0025303070433437824,0.002088321605697274
105,0.0025231423787772655,0.002081437734887004
106,0.002528719138354063,0.0020714192651212215
107,0.0025018337182700634,0.0020550861954689026
108,0.0024629656691104174,0.002048765541985631
109,0.0024750689044594765,0.002037846017628908
110,0.0024393133353441954,0.0020209895446896553
111,0.0024295414332300425,0.002013979945331812
112,0.0024450928904116154,0.0019984852988272905
113,0.002407665830105543,0.001992562087252736
114,0.0024073829408735037,0.00198515597730875
115,0.0023873921018093824,0.001976026687771082
116,0.0023960331454873085,0.0019741887226700783
117,0.002364138839766383,0.0019688326865434647
118,0.0023909329902380705,0.001962722046300769
119,0.002368914196267724,0.001960021909326315
120,0.002375605283305049,0.001959903398528695
121,0.0023469545412808657,0.001956523861736059
122,0.002364749787375331,0.0019505212549120188
123,0.002339009428396821,0.0019486950477585196
124,0.0023279429879039526,0.0019408189691603184
125,0.002339348429813981,0.0019368560751900077
126,0.0023342627100646496,0.001931163715198636
127,0.00232795812189579,0.001921582268550992
128,0.002304071094840765,0.0019209104357287288
129,0.0022873941343277693,0.0019151653395965695
130,0.002306318609043956,0.0019100008066743612
131,0.002276626881211996,0.001908587757498026
132,0.00229076761752367,0.0019065783126279712
133,0.002275588922202587,0.0019033241551369429
134,0.0022880665492266417,0.0019043991342186928
135,0.0022871659602969885,0.0019023683853447437
136,0.0022672147024422884,0.001898085931316018
137,0.002272949321195483,0.0018951091915369034
138,0.0022787514608353376,0.0018944505136460066
139,0.0022723746951669455,0.0018892298685386777
140,0.002273296471685171,0.0018949892837554216
141,0.002268934389576316,0.0018881981959566474
142,0.0022603857796639204,0.0018851228523999453
143,0.002278504427522421,0.0018868721090257168
144,0.002240421948954463,0.0018756591016426682
145,0.002236563479527831,0.001875377376563847
146,0.0022285098675638437,0.0018701570807024837
147,0.00223075645044446,0.0018679124768823385
148,0.002224104478955269,0.001862400327809155
149,0.0022328582126647234,0.001869724947027862
150,0.0022260849364101887,0.0018638509791344404
151,0.002226157346740365,0.001862432574853301
152,0.002217179164290428,0.0018565513892099261
153,0.002220399444922805,0.0018551882822066545
154,0.0022145684342831373,0.0018544589402154088
155,0.0022064729128032923,0.0018535497365519404
156,0.0022222609259188175,0.0018550694221630692
157,0.0022014505229890347,0.0018553443951532245
158,0.0021964125335216522,0.001851944369263947
159,0.0022018777672201395,0.0018535262206569314
160,0.002198302885517478,0.001849218737334013
161,0.0022124352399259806,0.0018488980131223798
162,0.0021907323971390724,0.001848492305725813
163,0.0022020493634045124,0.0018462385050952435
164,0.0022112256847321987,0.0018431117059662938
